NUM,DESIGNATION,SiMDA_rank,Fenucci_rank,MASS,M_unc,SNR_M,GM_SiMDA,GM_Fenucci,GM_Fenucci/GM_SiMDA,GM_Fenucci/GM_sun,GM_sun
1,Ceres,1,1,9.38E+20,2.11E+16,44454.976,6.258889420E+10,6.262888864E+10,1.001,4.7191422767E-10,1.327E+20
4,Vesta,2,2,2.59E+20,1.76E+17,1471.591,1.728200810E+10,1.728823288E+10,1.000,1.3026836726E-10,1.327E+20
2,Pallas,3,3,2.05E+20,4.48E+18,45.759,1.367880950E+10,1.366587815E+10,0.999,1.0297360324E-10,1.327E+20
10,Hygiea,4,4,8.42E+19,4.91E+18,17.149,5.618320780E+09,5.625147645E+09,1.001,4.2385986149E-11,1.327E+20
704,Interamnia,5,6,3.54E+19,5.23E+18,6.769,2.362096860E+09,2.830409639E+09,1.198,2.1327387534E-11,1.327E+20
15,Eunomia,6,9,3.16E+19,1.25E+18,25.280,2.108538440E+09,2.023020987E+09,0.959,1.5243642468E-11,1.327E+20
511,Davida,7,5,3.08E+19,1.02E+19,3.020,2.055157720E+09,3.894483148E+09,1.895,2.9345275748E-11,1.327E+20
3,Juno,8,10,2.63E+19,2.37E+18,11.097,1.754891170E+09,1.920570700E+09,1.094,1.4471670475E-11,1.327E+20
52,Europa,9,7,2.34E+19,3.77E+18,6.207,1.561386060E+09,2.683035924E+09,1.718,2.0216913527E-11,1.327E+20
16,Psyche,10,11,2.29E+19,1.60E+18,14.313,1.528023110E+09,1.589658244E+09,1.040,1.1978215785E-11,1.327E+20
65,Cybele,11,16,1.63E+19,2.03E+18,8.030,1.087632170E+09,9.381057564E+08,0.863,7.0687100328E-12,1.327E+20
87,Sylvia,12,8,1.51E+19,1.30E+18,11.615,1.007561090E+09,2.168232074E+09,2.152,1.6337820878E-11,1.327E+20
31,Euphrosyne,13,15,1.49E+19,5.47E+18,2.724,9.942159100E+08,1.079371458E+09,1.086,8.1331596146E-12,1.327E+20
7,Iris,14,,1.41E+19,2.41E+18,5.851,9.408351900E+08,,,,1.327E+20
29,Amphitrite,15,,1.33E+19,1.65E+18,8.061,8.874544700E+08,,,,1.327E+20
6,Hebe,16,14,1.28E+19,2.51E+18,5.100,8.540915200E+08,1.139872323E+09,1.335,8.5890389994E-12,1.327E+20
107,Camilla,19,12,1.10E+19,8.65E+17,12.717,7.339849000E+08,1.443738403E+09,1.967,1.0878696848E-11,1.327E+20
88,Thisbe,22,13,1.03E+19,1.20E+18,8.583,6.872767700E+08,1.189807709E+09,1.731,8.9653065564E-12,1.327E+20
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
